model_type,compression_type,window_size,n_inputs,size(MiB),GBOPs
Transformer,dense,10,28,2.607232,0.9785907200000002
Transformer,dense,20,28,2.620032,2.1879603199999997
Transformer,dense,30,28,2.632832,3.62957312
Transformer,dense,40,28,2.645632,5.30342912
Transformer,dense,50,28,2.658432,7.209528320000001
Transformer,dense,60,28,2.6712320000000003,9.347870720000001
Transformer,quantize_8,10,28,0.737152,0.25828863999999996
Transformer,quantize_8,20,28,0.749952,0.7473561600000002
Transformer,quantize_8,30,28,0.7627520000000001,1.46866688
Transformer,quantize_8,40,28,0.775552,2.4222208000000007
Transformer,quantize_8,50,28,0.7883519999999999,3.6080179200000004
Transformer,quantize_8,60,28,0.8011520000000001,5.026058239999999
Transformer,SB_0.25,10,28,0.226432,0.2135398399999999
Transformer,SB_0.25,20,28,0.23923199999999997,0.6578585600000001
Transformer,SB_0.25,30,28,0.252032,1.33442048
Transformer,SB_0.25,40,28,0.264832,2.2432256
Transformer,SB_0.25,50,28,0.27763200000000005,3.3842739200000005
Transformer,SB_0.25,60,28,0.290432,4.757565439999999
Transformer,SB_0.5,10,28,0.226432,0.19510783999999995
Transformer,SB_0.5,20,28,0.23923199999999997,0.6209945600000001
Transformer,SB_0.5,30,28,0.252032,1.2791244800000001
Transformer,SB_0.5,40,28,0.264832,2.1694976
Transformer,SB_0.5,50,28,0.27763200000000005,3.2921139200000007
Transformer,SB_0.5,60,28,0.290432,4.64697344
LSTM,dense,10,28,4.123776,1.401497599999999
LSTM,dense,20,28,4.123776,2.794342399999998
LSTM,dense,30,28,4.123776,4.187187200000006
LSTM,dense,40,28,4.123776,5.5800320000000205
LSTM,dense,50,28,4.123776,6.972876800000035
LSTM,dense,60,28,4.123776,8.365721600000034
LSTM,quantize_8,10,28,1.055616,0.253734912
LSTM,quantize_8,20,28,1.055616,0.5057617920000025
LSTM,quantize_8,30,28,1.055616,0.7577886720000028
LSTM,quantize_8,40,28,1.055616,1.0098155520000025
LSTM,quantize_8,50,28,1.055616,1.2618424319999983
LSTM,quantize_8,60,28,1.055616,1.5138693119999942
LSTM,SB_0.25,10,28,0.160736,0.1780293119999997
LSTM,SB_0.25,20,28,0.160736,0.3549765120000003
LSTM,SB_0.25,30,28,0.160736,0.5319237120000023
LSTM,SB_0.25,40,28,0.160736,0.7088709120000062
LSTM,SB_0.25,50,28,0.160736,0.88581811200001
LSTM,SB_0.25,60,28,0.160736,1.0627653120000091
LSTM,SB_0.5,10,28,0.160736,0.1489720319999998
LSTM,SB_0.5,20,28,0.160736,0.2970424320000003
LSTM,SB_0.5,30,28,0.160736,0.44511283200000246
LSTM,SB_0.5,40,28,0.160736,0.5931832320000047
LSTM,SB_0.5,50,28,0.160736,0.7412536320000068
LSTM,SB_0.5,60,28,0.160736,0.889324032000009
MAMBA,dense,10,28,0.470336,0.1769907199999999
MAMBA,dense,20,28,0.470336,0.35320832000000035
MAMBA,dense,30,28,0.470336,0.5294259200000009
MAMBA,dense,40,28,0.470336,0.7056435199999985
MAMBA,dense,50,28,0.470336,0.8818611199999988
MAMBA,dense,60,28,0.470336,1.0580787199999984
MAMBA,quantize_8,10,28,0.307136,0.11672831999999995
MAMBA,quantize_8,20,28,0.307136,0.2326835199999999
MAMBA,quantize_8,30,28,0.307136,0.3486387200000008
MAMBA,quantize_8,40,28,0.307136,0.46459392000000094
MAMBA,quantize_8,50,28,0.307136,0.5805491199999986
MAMBA,quantize_8,60,28,0.307136,0.6965043199999982
MAMBA,SB_0.25,10,28,0.242176,0.10456831999999996
MAMBA,SB_0.25,20,28,0.242176,0.20836351999999989
MAMBA,SB_0.25,30,28,0.242176,0.3121587200000008
MAMBA,SB_0.25,40,28,0.242176,0.415953920000001
MAMBA,SB_0.25,50,28,0.242176,0.5197491200000013
MAMBA,SB_0.25,60,28,0.242176,0.6235443199999982
MAMBA,SB_0.5,10,28,0.242176,0.10280191999999998
MAMBA,SB_0.5,20,28,0.242176,0.2048307199999999
MAMBA,SB_0.5,30,28,0.242176,0.3068595200000008
MAMBA,SB_0.5,40,28,0.242176,0.408888320000001
MAMBA,SB_0.5,50,28,0.242176,0.5109171200000012
MAMBA,SB_0.5,60,28,0.242176,0.6129459199999981
